gene_id,gene_name,description,ath_gene_id,ath_alias,gene_name_figs
Zm00001d015451,SBP-domain protein1,SBP-domain protein1,AT1G02065,SPL8,SBP-domain protein1 (SPL8)
Zm00001d015453,Zm00001d015453,RING/U-box superfamily protein,AT4G31450,,Zm00001d015453
Zm00001d015456,Zm00001d015456,Cyclin-dependent kinase B1-1,AT3G48750,CDKA;1,Zm00001d015456 (CDKA;1)
Zm00001d015459,brown midrib5,4-coumarate--CoA ligase 1,AT1G51680,AT4CL1,brown midrib5 (AT4CL1)
Zm00001d015460,Zm00001d015460,Probable small nuclear ribonucleoprotein F,AT4G30220,RUXF,Zm00001d015460 (RUXF)
Zm00001d015461,Zm00001d015461,Fasciclin-like arabinogalactan protein 3,AT2G24450,FLA3,Zm00001d015461 (FLA3)
Zm00001d015462,Zm00001d015462,CDPK-related kinase 3,AT2G46700,CRK3,Zm00001d015462 (CRK3)
Zm00001d015463,Zm00001d015463,CASP-like protein 9,AT2G35760,,Zm00001d015463
Zm00001d015464,Zm00001d015464,Calmodulin binding protein,AT5G57580,,Zm00001d015464
Zm00001d015468,C2C2-CO-like-transcription factor 18,Zinc finger protein CONSTANS-LIKE 5,AT5G57660,COL5,C2C2-CO-like-transcription factor 18 (COL5)
Zm00001d015469,desynaptic2,desynaptic2,AT2G46980,AtASY3,desynaptic2 (AtASY3)
Zm00001d015470,Zm00001d015470,GDU1,AT2G24762,GDU4,Zm00001d015470 (GDU4)
Zm00001d015473,Zm00001d015473,Protein transport protein SEC61 gamma subunit,AT5G50460,,Zm00001d015473
Zm00001d015474,Zm00001d015474,Vacuolar import/degradation Vid27-related protein,AT4G33400,,Zm00001d015474
Zm00001d015475,Zm00001d015475,RING-H2 finger protein ATL2L,AT4G30370,IDF1,Zm00001d015475 (IDF1)
Zm00001d015476,Zm00001d015476,sequence-specific DNA binding transcription factors,AT4G30410,,Zm00001d015476
Zm00001d015477,Zm00001d015477,Protein ECERIFERUM 3,AT5G57800,YRE,Zm00001d015477 (YRE)
Zm00001d015481,Zm00001d015481,40S ribosomal protein S4-3,AT5G07090,,Zm00001d015481
Zm00001d015481,Zm00001d015481,40S ribosomal protein S4-3,AT5G58420,,Zm00001d015481
Zm00001d015484,Zm00001d015484,Metal-dependent phosphohydrolase,AT2G23820,,Zm00001d015484
Zm00001d015485,TUB-transcription factor 8,Tubby-like protein 8,AT1G16070,TLP8,TUB-transcription factor 8 (TLP8)
Zm00001d015486,Zm00001d015486,alpha/beta-Hydrolases superfamily protein,AT5G17670,,Zm00001d015486
Zm00001d015487,Zm00001d015487,Protein REVEILLE 8,AT3G09600,RVE8,Zm00001d015487 (RVE8)
Zm00001d015490,Zm00001d015490,Heptahelical transmembrane protein 2,AT5G20270,HHP1,Zm00001d015490 (HHP1)
Zm00001d015491,Zm00001d015491,Heptahelical transmembrane protein 2,AT2G24150,HHP3,Zm00001d015491 (HHP3)
Zm00001d015493,autophagy11b,Autophagy-related protein 11,AT4G30790,,autophagy11b
Zm00001d015495,Zm00001d015495,Protein RRC1,AT5G25060,RRC1,Zm00001d015495 (RRC1)
Zm00001d015497,aconitase6,Aconitate hydratase 3 mitochondrial,AT4G26970,ACO2,aconitase6 (ACO2)
Zm00001d015499,Zm00001d015499,Protein RRC1,AT5G25060,RRC1,Zm00001d015499 (RRC1)
Zm00001d015504,Zm00001d015504,Protein phosphatase 2C isoform gamma,AT4G31860,,Zm00001d015504
Zm00001d015505,Zm00001d015505,Nucleoid-associated protein  chloroplastic,AT2G24020,,Zm00001d015505
Zm00001d015508,GNAT-transcription factor 24,Probable N-acetyltransferase HLS1,AT4G37580,UNS2,GNAT-transcription factor 24 (UNS2)
Zm00001d015509,chorismate mutase2,chorismate mutase2,AT5G10870,CM2,chorismate mutase2 (CM2)
Zm00001d015513,Zm00001d015513,Dihydroflavonol-4-reductase,AT1G15950,IRX4,Zm00001d015513 (IRX4)
Zm00001d015515,WRKY-transcription factor 48,Probable WRKY transcription factor 40,AT1G80840,WRKY40,WRKY-transcription factor 48 (WRKY40)
Zm00001d015517,Zm00001d015517,Protein POLAR LOCALIZATION DURING ASYMMETRIC DIVISION AND REDISTRIBUTION,,,Zm00001d015517
Zm00001d015518,Zm00001d015518,Aquaporin TIP4-1,AT2G25810,TIP4;1,Zm00001d015518 (TIP4;1)
Zm00001d015519,Zm00001d015519,RNA-binding (RRM/RBD/RNP motifs) family protein,AT1G70200,,Zm00001d015519
Zm00001d015520,Zm00001d015520,Chaperone protein ClpB4 mitochondrial,AT2G25140,HSP98.7,Zm00001d015520 (HSP98.7)
Zm00001d015521,G2-like-transcription factor 24,Two-component response regulator ARR12,AT2G25180,RR12,G2-like-transcription factor 24 (RR12)
Zm00001d015525,Zm00001d015525,Zinc finger protein 2,AT1G24625,ZFP7,Zm00001d015525 (ZFP7)
Zm00001d015526,Zm00001d015526,Proteasome subunit beta type,AT1G21720,PBC1,Zm00001d015526 (PBC1)
Zm00001d015527,Zm00001d015527,Phytosulfokine receptor,AT2G25220,,Zm00001d015527
Zm00001d015529,Zm00001d015529,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha 2,AT1G76550,,Zm00001d015529
Zm00001d015531,Zm00001d015531,NO-associated protein 1 chloroplastic/mitochondrial,AT3G47450,RIF1,Zm00001d015531 (RIF1)
Zm00001d015534,Zm00001d015534,Ypt/Rab-GAP domain of gyp1p superfamily protein,AT5G57210,,Zm00001d015534
Zm00001d015544,Zm00001d015544,Ureide permease 5,AT2G03530,UPS2,Zm00001d015544 (UPS2)
Zm00001d015549,knotted related homeobox6,knotted related homeobox6,AT5G25220,KNAT3,knotted related homeobox6 (KNAT3)
Zm00001d015555,Zm00001d015555,Protein FIZZY-RELATED 1,AT4G22910,FZR2,Zm00001d015555 (FZR2)
Zm00001d015556,Zm00001d015556,Protein S-acyltransferase 24,AT5G20350,TIP1,Zm00001d015556 (TIP1)
Zm00001d015557,Zm00001d015557,Protein S-acyltransferase 24,AT5G20350,TIP1,Zm00001d015557 (TIP1)
Zm00001d015560,PLATZ-transcription factor 9,PLATZ transcription factor family protein,AT2G12646,,PLATZ-transcription factor 9
Zm00001d015562,Zm00001d015562,DNA polymerase epsilon catalytic subunit A,AT2G27120,TIL2,Zm00001d015562 (TIL2)
Zm00001d015566,Zm00001d015566,BRCA1-associated protein,AT2G26000,BRIZ2,Zm00001d015566 (BRIZ2)
Zm00001d015568,Zm00001d015568,Nucleolin,,,Zm00001d015568
Zm00001d015569,vacuolar proton pump7,Vacuolar H+-translocating inorganic pyrophosphatase,AT1G15690,VHP1,vacuolar proton pump7 (VHP1)
Zm00001d015570,Zm00001d015570,Sucrose-phosphate synthase 1,AT5G20280,SPSA1,Zm00001d015570 (SPSA1)
Zm00001d015571,Zm00001d015571,Ubiquitin system component Cue protein,AT5G32440,,Zm00001d015571
Zm00001d015574,Zm00001d015574,O-fucosyltransferase family protein,AT1G51630,MSR2,Zm00001d015574 (MSR2)
Zm00001d015575,Zm00001d015575,Autophagy-related protein 11,AT4G30790,,Zm00001d015575
Zm00001d015578,Zm00001d015578,Cytochrome P450 71D8,AT3G26300,CYP71B34,Zm00001d015578 (CYP71B34)
Zm00001d015581,Zm00001d015581,Protein kinase superfamily protein,AT3G15890,,Zm00001d015581
Zm00001d015585,mTERF domain protein27c,Mitochondrial transcription termination factor family protein,AT1G21150,,mTERF domain protein27c
Zm00001d015589,Zm00001d015589,Premnaspirodiene oxygenase,AT3G26330,CYP71B37,Zm00001d015589 (CYP71B37)
Zm00001d015590,Zm00001d015590,DEAD-box ATP-dependent RNA helicase 7,AT5G62190,PRH75,Zm00001d015590 (PRH75)
Zm00001d015592,Zm00001d015592,Cytochrome P450 CYP71K14,AT2G30750,CYP71A12,Zm00001d015592 (CYP71A12)
Zm00001d015597,Zm00001d015597,O-fucosyltransferase family protein,AT2G01480,,Zm00001d015597
Zm00001d015599,Zm00001d015599,Cyclase family protein,AT4G35220,,Zm00001d015599
Zm00001d015600,Zm00001d015600,Exostosin family protein,AT4G38040,,Zm00001d015600
Zm00001d015603,Zm00001d015603,RNA-metabolising metallo-beta-lactamase family protein,AT5G63420,emb2746,Zm00001d015603 (emb2746)
Zm00001d015605,Trihelix-transcription factor 13,Putative metallo-beta-lactamase homeodomain-containing protein,AT5G63420,emb2746,Trihelix-transcription factor 13 (emb2746)
Zm00001d015609,glycerophosphodiester phosphodiesterase8,Glycerophosphodiester phosphodiesterase GDPDL3,AT5G58170,SVL5,glycerophosphodiester phosphodiesterase8 (SVL5)
Zm00001d015610,Zm00001d015610,Probable protein phosphatase 2C 33,,,Zm00001d015610
Zm00001d015611,Zm00001d015611,Cyclin-dependent kinases regulatory subunit 1,AT2G27960,CKS1AT,Zm00001d015611 (CKS1AT)
Zm00001d015613,Zm00001d015613,Protein TIC 21 chloroplastic,AT2G15290,TIC21,Zm00001d015613 (TIC21)
Zm00001d015614,MYB-transcription factor 50,Transcription factor MYB44,AT4G37260,MYB73,MYB-transcription factor 50 (MYB73)
Zm00001d015616,Zm00001d015616,Leucine zipper protein-like;  protein,AT5G50380,EXO70F1,Zm00001d015616 (EXO70F1)
Zm00001d015618,brown midrib1,Probable cinnamyl alcohol dehydrogenase,AT3G19450,CAD4,brown midrib1 (CAD4)
Zm00001d015623,Zm00001d015623,Limonoid UDP-glucosyltransferase,AT4G15480,UGT84A1,Zm00001d015623 (UGT84A1)
Zm00001d015625,Zm00001d015625,Sec14p-like phosphatidylinositol transfer family protein,AT5G47730,,Zm00001d015625
Zm00001d015626,Zm00001d015626,Putative uncharacterized protein,,,Zm00001d015626
Zm00001d015627,Zm00001d015627,Ubiquitin-like superfamily protein,,,Zm00001d015627
Zm00001d015628,Zm00001d015628,Ribosome-like protein,AT3G27160,GHS1,Zm00001d015628 (GHS1)
Zm00001d015635,Zm00001d015635,Mediator of RNA polymerase II transcription subunit 11,AT3G01435,,Zm00001d015635
Zm00001d015636,Zm00001d015636,GDSL esterase/lipase,AT2G04570,,Zm00001d015636
Zm00001d015637,Zm00001d015637,GDSL esterase/lipase,AT4G26790,,Zm00001d015637
Zm00001d015639,AP2-EREBP-transcription factor 138,Ethylene-responsive transcription factor 3,AT1G50640,ERF3,AP2-EREBP-transcription factor 138 (ERF3)
Zm00001d015644,Zm00001d015644,Zinc finger CCCH domain-containing protein 4,,,Zm00001d015644
Zm00001d015649,Zm00001d015649,Protein STRUBBELIG-RECEPTOR FAMILY 8,AT4G22130,SRF8,Zm00001d015649 (SRF8)
Zm00001d015651,pink scutellum1,Lycopene beta cyclase chloroplastic,AT3G10230,LYC,pink scutellum1 (LYC)
Zm00001d015653,Zm00001d015653,Trypsin family protein,AT2G35155,,Zm00001d015653
Zm00001d015656,Zm00001d015656,Esterase/lipase/thioesterase,AT3G01690,,Zm00001d015656
Zm00001d015657,Zm00001d015657,Phytoene dehydrogenase-like,AT5G49550,BLOS2,Zm00001d015657 (BLOS2)
Zm00001d015658,amino acid/auxin permease34,Transmembrane amino acid transporter family protein,AT3G30390,,amino acid/auxin permease34
Zm00001d015661,Zm00001d015661,Auxin-responsive protein SAUR61,AT1G20470,SAUR60,Zm00001d015661 (SAUR60)
Zm00001d015662,Zm00001d015662,Probable rRNA-processing protein EBP2 homolog,AT3G22660,,Zm00001d015662
Zm00001d015664,bZIP-transcription factor 36,basic leucine-zipper 58,,,bZIP-transcription factor 36
Zm00001d015665,Zm00001d015665,Serine/threonine protein phosphatase 2A regulatory subunit B''alpha,AT5G28850,,Zm00001d015665
Zm00001d015665,Zm00001d015665,Serine/threonine protein phosphatase 2A regulatory subunit B''alpha,AT5G28900,,Zm00001d015665
Zm00001d015671,Homeobox-transcription factor 27,Probable E3 ubiquitin-protein ligase LOG2,AT3G09770,LOG2,Homeobox-transcription factor 27 (LOG2)
Zm00001d015675,Zm00001d015675,Golgin candidate 6,AT3G27530,MAG4,Zm00001d015675 (MAG4)
Zm00001d015676,Zm00001d015676,Clathrin heavy chain 2,AT3G11130,CHC1,Zm00001d015676 (CHC1)
Zm00001d015677,Zm00001d015677,Protein argonaute 1,AT5G43810,ZLL,Zm00001d015677 (ZLL)
Zm00001d015678,Zm00001d015678,Probable UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SEC,AT3G04240,SEC,Zm00001d015678 (SEC)
Zm00001d015682,Zm00001d015682,transcription regulators,AT1G02080,,Zm00001d015682
Zm00001d015685,Zm00001d015685,12-dihydroxy-3-keto-5-methylthiopentene dioxygenase 4,AT5G43850,ATARD4,Zm00001d015685 (ATARD4)
Zm00001d015692,Zm00001d015692,AUGMIN subunit 6,AT5G40740,AUG6,Zm00001d015692 (AUG6)
Zm00001d015693,Zm00001d015693,AUGMIN subunit 6,AT5G40740,AUG6,Zm00001d015693 (AUG6)
Zm00001d015698,Zm00001d015698,F-box/kelch-repeat protein OR23,AT4G03030,,Zm00001d015698
Zm00001d015700,Zm00001d015700,Putative chloride channel-like protein CLC-g,AT5G49890,CLC-C,Zm00001d015700 (CLC-C)
Zm00001d015702,Zm00001d015702,Putative chloride channel-like protein CLC-g,AT5G33280,,Zm00001d015702
Zm00001d015703,Zm00001d015703,Apoptosis inhibitory protein 5 (API5),AT2G34040,,Zm00001d015703
Zm00001d015704,Zm00001d015704,Apoptosis inhibitory protein 5 (API5),AT2G34040,,Zm00001d015704
Zm00001d015707,Zm00001d015707,Nuclear pore complex protein NUP155,AT1G14850,NUP155,Zm00001d015707 (NUP155)
Zm00001d015714,Zm00001d015714,Guanylate-binding family protein,AT5G46070,,Zm00001d015714
Zm00001d015721,Zm00001d015721,Cytochrome P450 734A1,AT2G26710,CYP734A1,Zm00001d015721 (CYP734A1)
Zm00001d015724,Zm00001d015724,(6-4)DNA photolyase,AT3G15620,UVR3,Zm00001d015724 (UVR3)
Zm00001d015729,Zm00001d015729,Peptidyl-prolyl cis-trans isomerase CYP95,AT3G63400,,Zm00001d015729
Zm00001d015730,Zm00001d015730,Putative uncharacterized protein,AT5G51960,,Zm00001d015730
Zm00001d015731,Zm00001d015731,IAA-amino acid hydrolase ILR1,AT3G02875,ILR1,Zm00001d015731 (ILR1)
Zm00001d015733,Zm00001d015733,Rhamnogalacturonate lyase family protein,AT1G09890,,Zm00001d015733
Zm00001d015737,Zm00001d015737,Ran BP2/NZF zinc finger-like superfamily protein,AT3G15680,,Zm00001d015737
Zm00001d015741,Zm00001d015741,TPR domain containing protein,AT5G65520,,Zm00001d015741
Zm00001d015743,bZIP-transcription factor 61,Transcription factor HY5,AT5G11260,TED 5,bZIP-transcription factor 61 (TED 5)
Zm00001d015744,Zm00001d015744,Ring canal kelch,AT1G55270,,Zm00001d015744
Zm00001d015746,brittle endosperm1,Adenine nucleotide transporter BT1 chloroplastic/mitochondrial,AT4G32400,SHS1,brittle endosperm1 (SHS1)
Zm00001d015747,Zm00001d015747,Protein disulfide-isomerase like 2-1,AT2G47470,UNE5,Zm00001d015747 (UNE5)
Zm00001d015748,Zm00001d015748,Embryonic flower 1-like protein;  protein,,,Zm00001d015748
Zm00001d015754,Zm00001d015754,Nuclear pore complex protein NUP205,AT5G51200,EMB3142,Zm00001d015754 (EMB3142)
Zm00001d015756,Zm00001d015756,Metal-nicotianamine transporter YSL2,AT5G24380,YSL2,Zm00001d015756 (YSL2)
Zm00001d015758,Zm00001d015758,DEAD-box ATP-dependent RNA helicase 41,AT3G02065,,Zm00001d015758
Zm00001d015759,AP2-EREBP-transcription factor 46,Ethylene responsive element,AT1G15360,WIN1,AP2-EREBP-transcription factor 46 (WIN1)
Zm00001d015765,Zm00001d015765,SWR1-complex protein 4,AT2G47210,,Zm00001d015765
Zm00001d015770,Zm00001d015770,Pentatricopeptide repeat-containing protein,,,Zm00001d015770
Zm00001d015772,Zm00001d015772,Putative UPF0481 protein,AT3G02645,,Zm00001d015772
Zm00001d015774,Zm00001d015774,Protein transport protein SEC31 homolog B,AT3G63460,SEC31B,Zm00001d015774 (SEC31B)
Zm00001d015777,Zm00001d015777,Chloroplast small heat shock protein,AT1G52560,,Zm00001d015777
Zm00001d015778,EIN3-binding F-box protein2,EIN3-binding F-box protein 1,AT5G25350,EBF2,EIN3-binding F-box protein2 (EBF2)
Zm00001d015779,Zm00001d015779,14-3-3-like protein GF14 omega,AT4G09000,GRF1,Zm00001d015779 (GRF1)
Zm00001d015780,Zm00001d015780,Protein WVD2-like 5,AT4G32330,,Zm00001d015780
Zm00001d015783,Zm00001d015783,Glycosyl hydrolase superfamily protein,AT3G15800,,Zm00001d015783
Zm00001d015785,Zm00001d015785,Sec14p-like phosphatidylinositol transfer family protein,AT1G55840,,Zm00001d015785
Zm00001d015788,proteasome component4,proteasome component4,AT1G45000,,proteasome component4
Zm00001d015789,Zm00001d015789,C2 and GRAM domain-containing protein,AT1G03370,,Zm00001d015789
Zm00001d015791,Zm00001d015791,F-box domain containing protein,,,Zm00001d015791
Zm00001d015795,Zm00001d015795,Ribosomal protein L12/ ATP-dependent Clp protease adaptor protein ClpS family protein,AT3G06040,,Zm00001d015795
Zm00001d015798,Zm00001d015798,Subtilisin-like protease SBT5.3,AT2G04160,AIR3,Zm00001d015798 (AIR3)
Zm00001d015799,Zm00001d015799,Putative uncharacterized protein,,,Zm00001d015799
Zm00001d015804,Zm00001d015804,ADP-ribosylation factor GTPase-activating protein AGD12,AT4G21160,ZAC,Zm00001d015804 (ZAC)
Zm00001d015809,Zm00001d015809,CDP-diacylglycerol--serine O-phosphatidyltransferase 1,AT1G15110,PSS1,Zm00001d015809 (PSS1)
Zm00001d015810,Zm00001d015810,alpha/beta-Hydrolases superfamily protein,AT4G17150,,Zm00001d015810
Zm00001d015811,Zm00001d015811,alpha/beta-Hydrolases superfamily protein,AT4G17150,,Zm00001d015811
Zm00001d015812,Zm00001d015812,Autophagy-related protein 18a,AT3G62770,PEUP2,Zm00001d015812 (PEUP2)
Zm00001d015815,GRAS-transcription factor 17,Scarecrow-like protein 18,AT1G55580,SCL18,GRAS-transcription factor 17 (SCL18)
Zm00001d015816,Zm00001d015816,3-oxoacyl-,AT2G04540,,Zm00001d015816
Zm00001d015817,Zm00001d015817,40S ribosomal protein S4-3,AT5G07090,,Zm00001d015817
Zm00001d015817,Zm00001d015817,40S ribosomal protein S4-3,AT5G58420,,Zm00001d015817
Zm00001d015818,Zm00001d015818,Phospholipase D gamma 1,AT2G42010,PLDBETA1,Zm00001d015818 (PLDBETA1)
Zm00001d015820,polygalacturonase25,Pectin lyase-like superfamily protein,,,polygalacturonase25
Zm00001d015821,polygalacturonase21,Pectin lyase-like superfamily protein,AT3G07820,,polygalacturonase21
Zm00001d015824,Zm00001d015824,dentin sialophosphoprotein-related,AT3G21290,,Zm00001d015824
Zm00001d015825,polygalacturonase20,Pectin lyase-like superfamily protein,AT3G07820,,polygalacturonase20
Zm00001d015829,heavy metal ATPase7,Probable copper-transporting ATPase HMA5,AT1G63440,HMA5,heavy metal ATPase7 (HMA5)
Zm00001d015834,Zm00001d015834,Probable L-gulonolactone oxidase 6,AT2G46760,GulLO6,Zm00001d015834 (GulLO6)
Zm00001d015837,Zm00001d015837,Outer envelope protein 80 chloroplastic,AT5G19620,TOC75-V,Zm00001d015837 (TOC75-V)
Zm00001d015839,Zm00001d015839,Chaperone protein dnaJ 6,AT3G12170,,Zm00001d015839
Zm00001d015842,Zm00001d015842,Zinc finger A20 and AN1 domain-containing stress-associated protein 2,AT1G51200,,Zm00001d015842
Zm00001d015844,Zm00001d015844,alpha/beta hydrolase family protein,AT3G12150,,Zm00001d015844
Zm00001d015845,Zm00001d015845,bZIP transcription factor family protein,AT5G06950,TGA2,Zm00001d015845 (TGA2)
Zm00001d015846,bZIP-transcription factor 28,bZIP transcription factor family protein,AT5G06839,TGA10,bZIP-transcription factor 28 (TGA10)
Zm00001d015849,Zm00001d015849,Methionine aminopeptidase 1D chloroplastic/mitochondrial,AT4G33380,,Zm00001d015849
Zm00001d015851,Zm00001d015851,Tubulin binding cofactor C domain-containing protein,AT3G57890,,Zm00001d015851
Zm00001d015852,lipoxygenase11,lipoxygenase11,AT3G45140,LOX2,lipoxygenase11 (LOX2)
Zm00001d015853,multiple sporocyte2,Leucine-rich repeat receptor protein kinase EMS1,AT5G07280,EXS,multiple sporocyte2 (EXS)
Zm00001d015856,citrate synthase1,citrate synthase1,AT2G44350,CSY4,citrate synthase1 (CSY4)
Zm00001d015857,Zm00001d015857,40S ribosomal protein S4-3,AT2G07360,,Zm00001d015857
Zm00001d015860,Zm00001d015860,1-aminocyclopropane-1-carboxylate oxidase 1,AT2G19590,ATACO1,Zm00001d015860 (ATACO1)
Zm00001d015861,Zm00001d015861,Mediator of RNA polymerase II transcription subunit 18,AT2G22370,MED18,Zm00001d015861 (MED18)
Zm00001d015863,budding inhibited by benzimidazoles homolog2,Mitotic spindle checkpoint protein BUBR1,AT2G33560,BUBR1,budding inhibited by benzimidazoles homolog2 (BUBR1)
Zm00001d015868,PLATZ-transcription factor 10,PLATZ transcription factor family protein,AT1G76590,,PLATZ-transcription factor 10
Zm00001d015870,Zm00001d015870,Acetamidase/Formamidase family protein,AT4G37550,,Zm00001d015870
Zm00001d015871,Zm00001d015871,Cyclin-dependent kinase B1-1,AT3G48750,CDKA;1,Zm00001d015871 (CDKA;1)
Zm00001d015872,Zm00001d015872,Serine carboxypeptidase-like 43,AT4G30810,scpl29,Zm00001d015872 (scpl29)
Zm00001d015882,Zm00001d015882,Retrovirus-related Pol polyprotein LINE-1,,,Zm00001d015882
Zm00001d015884,Zm00001d015884,Protein kinase,AT2G33580,LYK5,Zm00001d015884 (LYK5)
Zm00001d015885,Zm00001d015885,Glyceraldehyde-3-phosphate dehydrogenase GAPC1 cytosolic,AT1G79530,GAPCP-1,Zm00001d015885 (GAPCP-1)
Zm00001d015886,Zm00001d015886,26S protease regulatory subunit 6B homolog,AT5G58290,RPT3,Zm00001d015886 (RPT3)
Zm00001d015887,Zm00001d015887,40S ribosomal protein S4-3,AT5G07090,,Zm00001d015887
Zm00001d015887,Zm00001d015887,40S ribosomal protein S4-3,AT5G58420,,Zm00001d015887
Zm00001d015890,Zm00001d015890,SNARE-interacting protein KEULE,AT1G12360,SEC11,Zm00001d015890 (SEC11)
Zm00001d015891,Zm00001d015891,L-type lectin-domain containing receptor kinase S.6,AT5G42120,LecRK-S.6,Zm00001d015891 (LecRK-S.6)
Zm00001d015893,Zm00001d015893,Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH5,AT3G26560,,Zm00001d015893
Zm00001d015895,Zm00001d015895,hydroxyproline-rich glycoprotein family protein,AT2G18910,,Zm00001d015895
Zm00001d015897,Zm00001d015897,Inositol transporter 4,AT1G30220,INT2,Zm00001d015897 (INT2)
Zm00001d015899,Zm00001d015899,Fasciclin-like arabinogalactan protein 3,AT3G12660,FLA14,Zm00001d015899 (FLA14)
Zm00001d015901,Zm00001d015901,Fasciclin-like arabinogalactan protein 3,AT2G24450,FLA3,Zm00001d015901 (FLA3)
Zm00001d015905,sugars will eventually be exported transporter4a,sugars will eventually be exported transporter4a,AT4G10850,SWEET7,sugars will eventually be exported transporter4a (SWEET7)
Zm00001d015907,Zm00001d015907,10A19I.15,,,Zm00001d015907
Zm00001d015912,sugars will eventually be exported transporter4c,sugars will eventually be exported transporter4c,AT4G10850,SWEET7,sugars will eventually be exported transporter4c (SWEET7)
Zm00001d015914,sugars will eventually be exported transporter4b,sugars will eventually be exported transporter4b,AT4G10850,SWEET7,sugars will eventually be exported transporter4b (SWEET7)
Zm00001d015917,Zm00001d015917,Nucleic acid-binding OB-fold-like protein,AT5G35680,,Zm00001d015917
Zm00001d015921,plasma membrane-associated cation-binding protein,Plasma membrane-associated cation-binding protein 1,AT4G20260,PCAP1,plasma membrane-associated cation-binding protein (PCAP1)
Zm00001d015925,Zm00001d015925,Serine/threonine-protein kinase AGC1-5,AT3G12690,AGC1.5,Zm00001d015925 (AGC1.5)
Zm00001d015926,Zm00001d015926,Protein argonaute 5,AT5G43810,ZLL,Zm00001d015926 (ZLL)
Zm00001d015927,Zm00001d015927,L-gulonolactone oxidase 3,AT5G11540,GulLO3,Zm00001d015927 (GulLO3)
Zm00001d015929,Zm00001d015929,GTP-binding protein TypA,AT5G13650,SVR3,Zm00001d015929 (SVR3)
Zm00001d015932,Zm00001d015932,Chromatin modification-related protein EAF3,AT4G37280,,Zm00001d015932
Zm00001d015934,pectin methylesterase13,Pectinesterase-2,AT3G49220,,pectin methylesterase13
Zm00001d015936,Zm00001d015936,Defensin-like protein 6,AT2G02120,PDF2.1,Zm00001d015936 (PDF2.1)
Zm00001d015939,Zm00001d015939,Pre-mRNA-processing factor 19 homolog 2,AT2G33340,MAC3B,Zm00001d015939 (MAC3B)
Zm00001d015941,Zm00001d015941,Guanylate-binding family protein,AT5G46070,,Zm00001d015941
Zm00001d015942,Zm00001d015942,Guanylate-binding family protein,AT5G46070,,Zm00001d015942
Zm00001d015945,Zm00001d015945,Topless-related protein 2,,,Zm00001d015945
Zm00001d015948,Zm00001d015948,ATP-dependent Clp protease ATP-binding subunit clpX,AT5G53350,CLPX,Zm00001d015948 (CLPX)
Zm00001d015950,Zm00001d015950,Cytokinin dehydrogenase 6,AT3G63440,CKX6,Zm00001d015950 (CKX6)
Zm00001d015951,Zm00001d015951,Serine/threonine-protein kinase Nek1,AT5G18700,RUK,Zm00001d015951 (RUK)
Zm00001d015952,seven in absentia3,E3 ubiquitin-protein ligase SINAT4,AT4G27880,,seven in absentia3
Zm00001d015955,Zm00001d015955,Topoisomerase II-associated protein PAT1,AT1G79090,,Zm00001d015955
Zm00001d015956,Zm00001d015956,NAD(P)-binding Rossmann-fold superfamily protein,AT5G19440,,Zm00001d015956
Zm00001d015957,Acyl-CoA-binding protein6,Acyl-CoA-binding domain-containing protein 3,AT4G27780,AtACBP2,Acyl-CoA-binding protein6 (AtACBP2)
Zm00001d015960,male sterile5,SGNH hydrolase-type esterase superfamily protein,AT4G10950,,male sterile5
Zm00001d015961,Zm00001d015961,Mediator of RNA polymerase II transcription subunit 33A,AT3G23590,RFR1,Zm00001d015961 (RFR1)
Zm00001d015962,Zm00001d015962,prolyl oligopeptidase family protein,AT5G24260,,Zm00001d015962
Zm00001d015963,Zm00001d015963,Protein DETOXIFICATION 16,AT5G52450,,Zm00001d015963
Zm00001d015964,Zm00001d015964,Protein DETOXIFICATION 16,AT5G52450,,Zm00001d015964
Zm00001d015965,Zm00001d015965,protein; Tyrosine specific protein phosphatase-like,,,Zm00001d015965
Zm00001d015968,Zm00001d015968,lysine ketoglutarate reductase trans-splicing protein,AT1G67850,,Zm00001d015968
Zm00001d015969,Zm00001d015969,IQ-domain 21,,,Zm00001d015969
Zm00001d015970,Zm00001d015970,Protein kish,AT5G20165,,Zm00001d015970
Zm00001d015971,Zm00001d015971,Probable LRR receptor-like serine/threonine-protein kinase,AT5G10290,,Zm00001d015971
Zm00001d015974,Zm00001d015974,Leucine Rich Repeat family protein,AT3G58530,,Zm00001d015974
Zm00001d015975,Zm00001d015975,Probable lactoylglutathione lyase chloroplastic,AT1G67280,,Zm00001d015975
Zm00001d015976,Zm00001d015976,Probable lactoylglutathione lyase chloroplastic,AT1G67280,,Zm00001d015976
Zm00001d015977,Zm00001d015977,Xyloglucan endotransglucosylase/hydrolase protein 26,AT5G57530,XTH12,Zm00001d015977 (XTH12)
Zm00001d015981,Zm00001d015981,ADP-ribosylation factor GTPase-activating protein AGD3,AT5G13300,VAN3,Zm00001d015981 (VAN3)
Zm00001d015984,Zm00001d015984,Transcription factor bHLH133,AT4G29100,,Zm00001d015984
Zm00001d015985,sucrose export defective1,Probable tocopherol cyclase%2C chloroplastic,AT4G32770,VTE1,sucrose export defective1 (VTE1)
